Symbol,Price to Earnings,Price to Book,Return on Equity,Return on Assets,Debt to Equity,Score
YSN,0,0,0,0,0,0
DARK,0,0,0,0,0,0
TMV,0,0,0,0,0,0
MCRO,0,0,0,0,0,0
MYEG,0,0,0,0,0,0
ABST,0,0,0,0,0,0
KAPE,0,0,0,0,0,0
ZS,0,0,0,0,0,0
NETC,0,0,0,0,0,0
NET,0,0,0,0,0,0
TENB,0,0,0,0,0,0
BA,0,0,0,0,0,0
RPD,0,0,0,0,0,0
TENB,0,0,0,0,0,0
OKTA,0,0,0,0,0,0
TEAM,0,0,0,0,0,0
SPLK,0,1,0,0,0,1
MNDT,0,1,0,0,0,1
CYBR,0,1,0,0,0,1
PM,0,0,0,2,0,2
BLKB,0,2,0,0,0,2
WDAY,2,0,0,0,0,2
PANW,2,0,0,0,0,2
PING,0,3,0,0,0,3
DOCU,3,0,0,0,0,3
ADTN,0,3,0,0,0,3
CMP,0,3,0,0,0,3
CRWD,3,0,0,0,0,3
CRWD,3,0,0,0,0,3
TYL,0,2,1,1,0,4
NOW,2,0,1,1,0,4
TLS,0,2,0,0,2,4
DDOG,2,0,1,1,0,4
YOU,0,2,0,0,2,4
VRNS,2,2,0,0,0,4
ALRM,0,2,1,1,0,4
BB,2,3,0,0,0,5
GWRE,2,3,0,0,0,5
CGNT,0,4,0,0,1,5
MRK,4,1,0,0,0,5
IAC,0,5,1,0,0,6
MAS,4,0,0,2,0,6
OSPN,0,4,0,0,2,6
BIIB,0,3,2,1,0,6
MMM,0,2,3,1,0,6
QLYS,0,0,3,2,1,6
CPB,0,2,3,1,0,6
BLK,2,3,0,0,1,6
KNBE,4,0,0,0,2,6
CTXS,0,0,5,1,0,6
ROK,2,0,3,1,0,6
MANT,0,3,1,1,1,6
S,0,2,0,0,4,6
NVDA,0,0,4,2,0,6
CACI,0,3,2,1,0,6
AMZN,0,5,1,1,0,7
TRU,3,2,1,1,0,7
EVBG,5,2,0,0,0,7
ECL,2,2,2,1,0,7
GILD,0,2,3,2,0,7
K,0,2,4,1,0,7
UEC,0,2,0,0,5,7
HON,2,2,3,1,0,8
EFX,2,2,3,1,0,8
ADBE,2,0,4,2,0,8
ZBH,2,4,1,1,0,8
ICE,2,3,2,1,0,8
CRM,2,3,1,1,1,8
SCHW,5,3,0,0,0,8
STZ,2,3,2,1,0,8
META,2,0,3,2,1,8
ETSY,2,0,5,1,0,8
INTC,0,4,3,1,0,8
SAIC,2,3,2,1,0,8
XOM,0,3,3,1,1,8
BAH,2,0,5,1,0,8
ALLY,0,5,2,1,0,8
MDT,4,3,1,1,0,9
JNPR,4,3,1,1,0,9
MELI,5,0,3,1,0,9
OXY,0,3,5,1,0,9
VMW,2,2,4,1,0,9
AKAM,3,3,2,1,0,9
WFC,3,4,1,1,0,9
WFC,3,4,1,1,0,9
VEEV,2,0,2,1,4,9
FTNT,2,1,5,1,0,9
EMR,3,2,3,1,0,9
STT,3,4,2,1,0,10
DIS,5,3,1,1,0,10
AAPL,2,0,5,3,0,10
CSGP,2,5,1,1,1,10
RDWR,3,3,1,1,2,10
MU,0,4,3,2,1,10
WU,4,0,5,1,0,10
MSFT,3,0,5,2,0,10
RFP,0,4,3,2,1,10
LRCX,3,0,5,3,0,11
GEO,5,4,1,1,0,11
CALX,2,0,5,1,3,11
TSM,0,5,4,2,0,11
ATEN,4,1,5,1,1,12
TER,2,2,4,2,2,12
PII,5,2,4,1,0,12
CMCSA,5,4,2,1,0,12
KLAC,5,0,5,2,0,12
MCHP,5,3,3,1,0,12
CVX,5,3,3,1,1,13
CHKP,2,2,3,1,5,13
GOOGL,3,5,3,2,1,14
EGY,0,4,5,3,3,15
TROW,4,3,3,2,3,15
CACC,5,3,5,2,0,15
MATX,5,4,5,3,0,17
